# 作品情報の訂正・追記。1行1項目。
#
# data/ は git 管理外で、rebuild-db.yml がカタログを作り直すとDBの中身は再生成される。
# DBに直接書いた訂正は消えるので、ここに書いて毎回適用する。
#
# vid         VNDBの作品ID（v12345）
# field       下の一覧のいずれか
# value       入れる値
# source_url  出典。http(s) 必須。これが無い訂正は入れない
# checked_at  出典を実際に見て確認した日（YYYY-MM-DD）
# note        判断の理由。空でよいが、迷ったものは必ず書く
#
# 使える field:
#   released      発売日 YYYY-MM-DD
#   title         作品名
#   publishers    発売元（/ 区切り）
#   developers    開発元（/ 区切り）
#   staff         スタッフ（役割:名前 を / 区切り）
#   description_ja  日本語のあらすじ。自分の言葉で書くこと（下記）
#   jawiki_url    日本語Wikipediaのページ
#   url           公式サイト
#
# あらすじ（description_ja）の注意:
#   公式サイトやWikipediaの文章をそのまま貼らないこと。
#   公式の文は著作権があり、あらすじ欄を丸ごと引用で埋めると主従関係が逆転して
#   引用の要件を満たさない。Wikipedia は CC BY-SA なので転載すると継承義務が生じる。
#   事実・筋書きに著作権は及ばないので、読んで理解した内容を自分の表現で書く。
#   source_url には根拠にした公式ページを入れる。
vid,field,value,source_url,checked_at,note
v13905,released,2015-05-28,https://ja.wikipedia.org/wiki/%E7%B5%B6%E5%AF%BE%E9%9A%8E%E7%B4%9A%E5%AD%A6%E5%9C%92%E3%80%9CEden_with_roses_and_phantasm%E3%80%9C,2026-08-23,VNDBのVN側の発売日に対応するリリース記録がVNDB内に1つも無く、Wikipediaの一般発売日が最古の版と一致する。日付欄の全文で裏取り済み（旧値 2015-05-21）
v26154,released,2021-03-18,https://ja.wikipedia.org/wiki/%E3%82%B8%E3%83%A3%E3%83%83%E3%82%AF%E3%82%B8%E3%83%A3%E3%83%B3%E3%83%8C,2026-08-23,VNDBのVN側の発売日に対応するリリース記録がVNDB内に1つも無く、Wikipediaの一般発売日が最古の版と一致する。日付欄の全文で裏取り済み（旧値 2021-01-28）
v2170,released,2006-03-04,https://www.suruga-ya.jp/search?search_word=4988615022913,2026-08-23,駿河屋の商品情報（JAN一致）の発売日欄。VNDBは発表時の予定日を保持しており、実際の発売はその後だったと思われる。旧値 2006-03-02
v1668,released,2008-09-11,https://www.suruga-ya.jp/search?search_word=4527823995277,2026-08-23,駿河屋の商品情報（JAN一致）の発売日欄。VNDBは発表時の予定日を保持しており、実際の発売はその後だったと思われる。旧値 2008-09-09
v16454,released,1998-04-02,https://www.suruga-ya.jp/search?search_word=4904323270491,2026-08-23,駿河屋の商品情報（JAN一致）の発売日欄。VNDBは発表時の予定日を保持しており、実際の発売はその後だったと思われる。旧値 1998-03-20
v7866,released,2010-11-25,https://www.suruga-ya.jp/search?search_word=4995857100835,2026-08-23,駿河屋の商品情報（JAN一致）の発売日欄。VNDBは発表時の予定日を保持しており、実際の発売はその後だったと思われる。旧値 2010-11-18
v1754,released,2009-08-20,https://www.suruga-ya.jp/search?search_word=4995857090440,2026-08-23,駿河屋の商品情報（JAN一致）の発売日欄。VNDBは発表時の予定日を保持しており、実際の発売はその後だったと思われる。旧値 2009-07-23
v40519,released,2024-04-11,https://www.suruga-ya.jp/search?search_word=4510417032526,2026-08-23,駿河屋の商品情報（JAN一致）の発売日欄。最古の版の日付と一致するので、その版の実際の発売日と判断した。VNDBは発表時の予定日をVN側に持ったままだったと思われる。旧値 2024-03-14
v13101,released,2014-05-28,https://www.suruga-ya.jp/search?search_word=4580337452995,2026-08-23,駿河屋の商品情報（JAN一致）の発売日欄。最古の版の日付と一致するので、その版の実際の発売日と判断した。VNDBは発表時の予定日をVN側に持ったままだったと思われる。旧値 2014-05-13
v13100,released,2014-05-28,https://www.suruga-ya.jp/search?search_word=4580337453060,2026-08-23,駿河屋の商品情報（JAN一致）の発売日欄。最古の版の日付と一致するので、その版の実際の発売日と判断した。VNDBは発表時の予定日をVN側に持ったままだったと思われる。旧値 2014-05-13
v22598,released,2018-12-21,https://www.suruga-ya.jp/search?search_word=4571436948052,2026-08-23,駿河屋の商品情報（JAN一致）の発売日欄。最古の版の日付と一致するので、その版の実際の発売日と判断した。VNDBは発表時の予定日をVN側に持ったままだったと思われる。旧値 2018-11-30
v51912,released,2026-01-22,https://www.suruga-ya.jp/search?search_word=4510417032816,2026-08-23,駿河屋の商品情報（JAN一致）の発売日欄。最古の版の日付と一致するので、その版の実際の発売日と判断した。VNDBは発表時の予定日をVN側に持ったままだったと思われる。旧値 2025-12-11
v50653,released,2026-03-26,https://www.suruga-ya.jp/search?search_word=4595120538220,2026-08-23,駿河屋の商品情報（JAN一致）の発売日欄。最古の版の日付と一致するので、その版の実際の発売日と判断した。VNDBは発表時の予定日をVN側に持ったままだったと思われる。旧値 2025-05-22
v22122,released,2018-09-28,https://www.suruga-ya.jp/search?search_word=4589499090908,2026-08-23,駿河屋の商品情報（JAN一致）の発売日欄。最古の版の日付と一致するので、その版の実際の発売日と判断した。VNDBは発表時の予定日をVN側に持ったままだったと思われる。旧値 2018-09-11
v25915,released,2021-09-30,https://www.suruga-ya.jp/search?search_word=4995857096879,2026-08-23,駿河屋の商品情報（JAN一致）の発売日欄。最古の版の日付と一致するので、その版の実際の発売日と判断した。VNDBは発表時の予定日をVN側に持ったままだったと思われる。旧値 2021-08-19
v18030,released,2016-03-10,https://www.suruga-ya.jp/search?search_word=4988615081187,2026-08-23,駿河屋の商品情報（JAN一致）の発売日欄。最古の版の日付と一致するので、その版の実際の発売日と判断した。VNDBは発表時の予定日をVN側に持ったままだったと思われる。旧値 2016-03-05
v12570,released,2014-10-23,https://www.suruga-ya.jp/search?search_word=4580302151069,2026-08-23,駿河屋の商品情報（JAN一致）の発売日欄。最古の版の日付と一致するので、その版の実際の発売日と判断した。VNDBは発表時の予定日をVN側に持ったままだったと思われる。旧値 2014-08-12
v16788,released,2015-06-07,http://eroolia.roseverte.net/mask/ja/,2026-08-23,公式サイトに「発売日：２０１５年６月７日」と明記。最古の版2015-06-07とも一致。旧値 2015-05-26
v39593,released,2023-08-22,https://www.loca.games/yukar-from-the-abyss/,2026-08-23,公式サイトに「発売日：2023年8月22日」と明記。DBの2022-11-02は発表時の日付と思われる。版の記録は2023-08-21で1日ずれるが、公式の記載を採った。旧値 2022-11-02
v3996,released,2007-02-15,https://www.suruga-ya.jp/search?search_word=4988602132618,2026-08-23,駿河屋の発売日欄。最古の版のJANで確認。版の記録は2007-02-14で1日ずれるが小売の記載を採った。旧値 2006-02-09
v19397,released,2016-12-16,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=24326,2026-08-23,ErogameScapeの発売日。最古の版の記録とも一致する。ErogameScapeはVNDBともWikipediaとも独立した日本のデータベースで、PCゲームの収録が厚い。旧値 2016-12-09
v13994,released,2015-09-25,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=22276,2026-08-23,ErogameScapeの発売日。最古の版の記録とも一致する。ErogameScapeはVNDBともWikipediaとも独立した日本のデータベースで、PCゲームの収録が厚い。旧値 2015-09-11
v13849,released,2014-04-25,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=20567,2026-08-23,ErogameScapeの発売日。最古の版の記録とも一致する。ErogameScapeはVNDBともWikipediaとも独立した日本のデータベースで、PCゲームの収録が厚い。旧値 2014-04-04
v15563,released,2015-01-30,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=21274,2026-08-23,ErogameScapeの発売日。最古の版の記録とも一致する。ErogameScapeはVNDBともWikipediaとも独立した日本のデータベースで、PCゲームの収録が厚い。旧値 2014-12-22
v12096,released,2013-12-27,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=20162,2026-08-23,ErogameScapeの発売日。最古の版の記録とも一致する。ErogameScapeはVNDBともWikipediaとも独立した日本のデータベースで、PCゲームの収録が厚い。旧値 2013-10-31
v18291,released,2016-10-28,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=24043,2026-08-23,ErogameScapeの発売日。最古の版の記録とも一致する。ErogameScapeはVNDBともWikipediaとも独立した日本のデータベースで、PCゲームの収録が厚い。旧値 2016-10-12
v22597,released,2018-06-29,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=32290,2026-08-23,ErogameScapeの発売日。最古の版の記録とも一致する。ErogameScapeはVNDBともWikipediaとも独立した日本のデータベースで、PCゲームの収録が厚い。旧値 2018-06-08
v18295,released,2016-08-19,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=22675,2026-08-23,ErogameScapeの発売日。最古の版の記録とも一致する。ErogameScapeはVNDBともWikipediaとも独立した日本のデータベースで、PCゲームの収録が厚い。旧値 2016-06-25
v32819,released,2021-06-11,https://erogamescape.dyndns.org/~ap2/ero/toukei_kaiseki/game.php?game=31211,2026-08-23,ErogameScapeの発売日。最古の版の記録とも一致する。ErogameScapeはVNDBともWikipediaとも独立した日本のデータベースで、PCゲームの収録が厚い。旧値 2021-04-20
v20117,released,2015-03-27,http://www.honeybee-cd.com/un_birth.html,2026-08-23,公式サイトに「発売しました！ 2015.03.27」。最古の版とも一致。旧値 2015-03-19
v21075,released,2017-09-29,http://eroolia.roseverte.net/king/ja/,2026-08-23,公式サイトに「発売日：2017年9月29日（PC版/Steam版）」と明記。DBの2017-09-26とも版の記録2017-10-18とも違うが、版の側にPC版が入っていないため。公式を採った。旧値 2017-09-26
v23021,released,2019-01-17,https://eroolia.roseverte.net/song/ja/,2026-08-23,公式サイトに「発売日：2019年1月17日（PC版/Steam版）」と明記。同上の理由で公式を採った。旧値 2018-11-15
v60613,released,2008-12-18,https://www.4gamer.net/games/077/G007721/20081105014/,2026-08-23,4Gamerの2008-11-05記事が「12月18日発売予定のNDS…」。最古の版とも一致。旧値 2008-11-18
v3820,released,2013-04-13,https://www.4gamer.net/games/318/G031860/,2026-08-23,4Gamerが「2013年にPC向けインディーズゲーム」と記載し、版の記録2013-04-13と一致。ErogameScapeは2013-03-17としており日が食い違う（体験版か先行の可能性）。旧値 2010-12-29
v37852,released,2022-09-11,https://game.mba-international.jp/monomagiacantabile/,2026-08-23,公式サイトの製品概要に「■配信日 2022年9月11日」と明記。版の記録2022-09-12とは1日ずれる。旧値 2022-08-20
