# 作品ごとの公式Xアカウント。x_posts.py verify はこれを基準に
# 「拾った投稿が本当に公式のものか」を照合する。ここが埋まっていない作品は
# ショップやファンの投稿を弾けないので、先にこちらを埋める。
vid	title	account	source_url	checked_at	note
v16032	大正×対称アリス	@taishoalice	https://x.com/taishoalice	2026-09-07	アカウント名「大正×対称アリス 公式」
v18162	7'scarlet	@7scarlet_info	https://x.com/7scarlet_info	2026-09-07	アカウント名「【公式】7'scarlet」
v17287	百花百狼 戦国忍法帖	@D3P_otome	http://www.d3p.co.jp/hyakka/	2026-09-07	公式サイトからの自動抽出。未確認
v7833	OZMAFIA!!	@ponipachet	http://ozmafia.com/	2026-09-07	公式サイトからの自動抽出。未確認
v32555	even if TEMPEST 宵闇にかく語りき魔女	@volradi	https://products.voltage.co.jp/tempest/english/	2026-09-07	公式サイトからの自動抽出。未確認
v18643	灰鷹のサイケデリカ	@psy_otomate	http://www.otomate.jp/psychedelica/aa-nisus/	2026-09-07	公式サイトからの自動抽出。未確認
v24240	幻奏喫茶アンシャンテ	@Enchanteotomate	http://www.otomate.jp/enchante/	2026-09-07	公式サイトからの自動抽出。未確認
v26154	ジャックジャンヌ	@JACKJEANNE_JP	https://jackjeanne.com/	2026-09-07	公式サイトからの自動抽出。未確認
v21789	Collar x Malice -Unlimited-	@CM_otomate	http://www.otomate.jp/collar_malice/fd/	2026-09-07	公式サイトからの自動抽出。未確認
v14759	あやかしごはん	@ayakashigohan	http://www.honeybee-cd.com/ayakashi.html	2026-09-07	公式サイトからの自動抽出。未確認
v18314	Code:Realize ~祝福の未来~	@CR_otomate	http://www.otomate.jp/code-realize/fd/	2026-09-07	公式サイトからの自動抽出。未確認
v22987	ビルシャナ戦姫 ～源平飛花夢想～	@birushana_info	https://www.otomate.jp/birushana/	2026-09-07	公式サイトからの自動抽出。未確認
v19850	VARIABLE BARRICADE	@VB_otomate	http://www.otomate.jp/varibarri/	2026-09-07	公式サイトからの自動抽出。未確認
v38068	9 R.I.P.	@9RIP_otomate	https://www.otomate.jp/9rip/	2026-09-07	公式サイトからの自動抽出。未確認
v17344	BAD APPLE WARS	@BAW_otomate	http://www.otomate.jp/baw/	2026-09-07	公式サイトからの自動抽出。未確認
v15070	Re:BIRTHDAY SONG ～恋を唄う死神～	@birth_song_info	http://www.honeybee-cd.com/re_birth.html	2026-09-07	公式サイトからの自動抽出。未確認
v17640	ピリオドキューブ ～鳥籠のアマデウス～	@period_otomate	http://www.otomate.jp/period-cube/	2026-09-07	公式サイトからの自動抽出。未確認
v21787	Charade Maniacs	@CA_otomate	http://www.otomate.jp/charade_maniacs/	2026-09-07	公式サイトからの自動抽出。未確認
v33150	天獄ストラグル -strayside-	@tengoku_otomate	https://www.otomate.jp/tengoku/	2026-09-07	公式サイトからの自動抽出。未確認
v22986	Lover Pretend	@LP_otomate	https://www.otomate.jp/lp/	2026-09-07	公式サイトからの自動抽出。未確認
v34018	SympathyKiss	@SK_otomate	https://www.otomate.jp/sympathykiss/	2026-09-07	公式サイトからの自動抽出。未確認
v25911	DAIROKU：AYAKASHIMORI	@D6_Info	http://www.otomate.jp/d6/	2026-09-07	公式サイトからの自動抽出。未確認
v40519	泡沫のユークロニア	@uchronia_jp	https://licobits-game.com/uchronia/	2026-09-07	公式サイトからの自動抽出。未確認
v29906	君は雪間に希う	@kimiyukiotomate	https://www.otomate.jp/kimiyuki/	2026-09-07	公式サイトからの自動抽出。未確認
v11637	華アワセ	@hana_awase	http://hana-awase.net/M/	2026-09-07	公式サイトからの自動抽出。未確認
v20277	大正×対称アリス HEADS&TAILS	@taishoalice	http://www.primula.jpn.com/taishoalicefd/	2026-09-07	公式サイトからの自動抽出。未確認
v38067	終遠のヴィルシュ -EpiC:lycoris-	@virche_otomate	https://www.otomate.jp/virche/fd/	2026-09-07	公式サイトからの自動抽出。未確認
v47010	ミストニアの翅望 -The Lost Delight-	@Kibou_otomate	https://www.otomate.jp/mistonia/	2026-09-07	公式サイトからの自動抽出。未確認
v34022	キューピット・パラサイト -Sweet & Spicy Darling.-	@CP_otomate	https://www.otomate.jp/cp/fd/	2026-09-07	公式サイトからの自動抽出。未確認
v18641	イケメン戦国◆時をかける恋	@cyikemensengoku	http://www.otomate.jp/ikemen_sengoku/	2026-09-07	公式サイトからの自動抽出。未確認
v47546	花笑む彼と & bloom	@hanakare_ml	https://hanakare.com/	2026-09-07	公式サイトからの自動抽出。未確認
v18163	ニル・アドミラリの天秤 帝都幻惑綺譚	@nilad_otomate	http://www.otomate.jp/nil-admirari/	2026-09-07	公式サイトからの自動抽出。未確認
v16651	帝國カレイド―万華の革命―	@OPERAHOUSE_info	http://teikale.operahouse.co.jp/	2026-09-07	公式サイトからの自動抽出。未確認
v29251	乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった… 〜波乱を呼ぶ海賊〜	@hamehurakaizoku	https://www.otomate.jp/hamehura-kaizoku/	2026-09-07	公式サイトからの自動抽出。未確認
v13994	吉原彼岸花	@MariaCrown_info	http://mariacrown.com/yosiwara/index.html	2026-09-07	公式サイトからの自動抽出。未確認
v20117	Un:BIRTHDAY SONG ～愛を唄う死神～	@birth_song_info	http://www.honeybee-cd.com/un_birth.html	2026-09-07	公式サイトからの自動抽出。未確認
v28803	Paradigm Paradox	@PP_otomate	https://www.otomate.jp/paradigm_paradox/	2026-09-07	公式サイトからの自動抽出。未確認
v20958	学園CLUB～放課後のヒミツ～	@OPERAHOUSE_info	http://gaclub.operahouse.co.jp/	2026-09-07	公式サイトからの自動抽出。未確認
v10273	神々の悪戯 - Ludere deorum	@kami_aso	http://www.kamiaso.com/	2026-09-07	公式サイトからの自動抽出。未確認
v17853	Blackish House	@Blackish_H_hb	http://www.honeybee-cd.com/BlackishHouse/sideA/	2026-09-07	公式サイトからの自動抽出。未確認
v17750	喧嘩番長乙女	@kenkabancho_o	http://www.kenkabancho-otome.com/	2026-09-07	公式サイトからの自動抽出。未確認
v13905	絶対階級学園 ~Eden with roses and phantasm~	@Daisy2official	http://www.daisy-daisy.in/products/kaikyu/index.html	2026-09-07	公式サイトからの自動抽出。未確認
v47013	OVER REQUIEMZ	@OvereqZ_otomate	https://www.otomate.jp/over_requiemz/	2026-09-07	公式サイトからの自動抽出。未確認
v12159	明治東亰恋伽	@meikoi_staff	http://www.meikoi-psp.com/origin/	2026-09-07	公式サイトからの自動抽出。未確認
v47009	マツリカの炯-kEi- 天命胤異伝	@Mk_otomate	https://www.otomate.jp/mk/	2026-09-07	公式サイトからの自動抽出。未確認
v42433	ラディアンテイル ～ファンファーレ！～	@RT_x_info	https://www.otomate.jp/radiant_tale/fanfare/	2026-09-07	公式サイトからの自動抽出。未確認
v14919	レンドフルール	@RDF_x_official	http://www.otomate.jp/reinedesfleurs/	2026-09-07	公式サイトからの自動抽出。未確認
v47771	レッドベルの慟哭	@RedBellsLament	https://products.voltage.co.jp/redbell/	2026-09-07	公式サイトからの自動抽出。未確認
v15495	DYNAMIC CHORD feat.[rēve parfait]	@reveparfait_DC2	http://www.honeybee-cd.com/dynamic/reve/	2026-09-07	公式サイトからの自動抽出。未確認
v27932	ゴシックマーダー -運命を変えるアドベンチャー-	@orange_GM01	http://orange-app.jp/game/GothicMurder/	2026-09-07	公式サイトからの自動抽出。未確認
v32229	ビルシャナ戦姫 ～一樹の風～	@birushana_info	https://www.otomate.jp/birushana/fd/	2026-09-07	公式サイトからの自動抽出。未確認
v10968	白華の檻 ~緋色の欠片4~	@OtomateWeb	http://www.otomate.jp/shirahana/	2026-09-07	公式サイトからの自動抽出。未確認
v14917	戦場の円舞曲	@waltz_otomate	http://www.otomate.jp/waltz/	2026-09-07	公式サイトからの自動抽出。未確認
v22598	蛇香のライラ ～Allure of MUSK～	@triP_OTOMATE	http://www.otomate.jp/triangle/lyla/	2026-09-07	公式サイトからの自動抽出。未確認
v25993	幻想マネージュ	@gensomanege	https://gensomanege.com/	2026-09-07	公式サイトからの自動抽出。未確認
v45894	DesperaDrops	@D3P_otome	https://www.d3p.co.jp/desperadrops/	2026-09-07	公式サイトからの自動抽出。未確認
v21895	マジェスティック☆マジョリカル	@maje_majo	http://dazkarat.jp/majemajo/	2026-09-07	公式サイトからの自動抽出。未確認
v19012	悠久のティアブレイド -Lost Chronicle-	@uq_tb_official	http://www.otomate.jp/tierblade/	2026-09-07	公式サイトからの自動抽出。未確認
v47012	燃えよ！ 乙女道士 ～華遊恋語～	@moeoto_otomate	https://www.otomate.jp/otomedoushi/	2026-09-07	公式サイトからの自動抽出。未確認
v34020	テミラーナ国の強運姫と悲運騎士団	@tsuitsuiotomate	https://www.otomate.jp/tsuitsui/	2026-09-07	公式サイトからの自動抽出。未確認
v12096	参千世界遊戯 ~MultiUniverse Myself~	@gdynamics_info	https://web.archive.org/web/20190208164034/http://www.g-dynamics.jp/sanzen/	2026-09-07	公式サイトからの自動抽出。未確認
v19743	Side Kicks!	@eXtend_SK	http://joqrextend.co.jp/extend/sidekicks/	2026-09-07	公式サイトからの自動抽出。未確認
v16460	SWEET CLOWN ~午前三時のオカシな道化師~	@sweetclown_1009	http://www.takuyo.co.jp/products/sweetclown/index.html	2026-09-07	公式サイトからの自動抽出。未確認
v16128	KLAP!! ~Kind Love And Punish~	@klap_otomate	http://www.otomate.jp/klap/	2026-09-07	公式サイトからの自動抽出。未確認
v17343	ゆのはな SpRING!	@ys_otomate	http://www.otomate.jp/yunohana_spring	2026-09-07	公式サイトからの自動抽出。未確認
v19716	白と黒のアリス	@roroari_info	http://www.otomate.jp/bw_alice/	2026-09-07	公式サイトからの自動抽出。未確認
v21783	Cendrillon palikA	@palikA_otomate	http://www.otomate.jp/cendrillon_phalika/	2026-09-07	公式サイトからの自動抽出。未確認
v16647	にゃんらぶ～私の恋の見つけ方～	@OPERAHOUSE_info	http://nyanlove.operahouse.co.jp/	2026-09-07	公式サイトからの自動抽出。未確認
v25963	あやかし恋廻り	@ayakoi_official	https://products.voltage.co.jp/ayakoi/	2026-09-07	公式サイトからの自動抽出。未確認
v20070	DYNAMIC CHORD feat.Liar-S	@Liar_S_DC2	http://www.honeybee-cd.com/dynamic/liar/	2026-09-07	公式サイトからの自動抽出。未確認
v11469	月影の鎖 -錯乱パラノイア-	@getsuei_kanko	http://www.takuyo.co.jp/products/getsuei/index.html	2026-09-07	公式サイトからの自動抽出。未確認
v51912	UN:LOGICAL	@unlogical_jp	https://licobits-game.com/unlogical/	2026-09-07	公式サイトからの自動抽出。未確認
v15253	熱血異能部活譚 Trigger Kiss	@Trigger_Kiss	http://www.otomate.jp/tk/#/top	2026-09-07	公式サイトからの自動抽出。未確認
v16060	遙かなる時空の中で6	@Haruka6Official	http://www.gamecity.ne.jp/haruka6/	2026-09-07	公式サイトからの自動抽出。未確認
v20072	DYNAMIC CHORD feat.apple-polisher	@apple_p_DC2	http://www.honeybee-cd.com/dynamic/app/disc.html	2026-09-07	公式サイトからの自動抽出。未確認
v41556	関守神	@SekimoriGami	https://game.mba-international.jp/sekimorigami/index.html	2026-09-07	公式サイトからの自動抽出。未確認
v25913	時計仕掛けのアポカリプス	@Apocaly_otomate	https://www.otomate.jp/apocalypse/	2026-09-07	公式サイトからの自動抽出。未確認
v20071	DYNAMIC CHORD feat.KYOHSO	@KYOHSO_DC2	http://www.honeybee-cd.com/dynamic/kyoh/	2026-09-07	公式サイトからの自動抽出。未確認
v49600	Honey Vibes	@HoneyV_otome	https://www.otomate.jp/honey_vibes/	2026-09-07	公式サイトからの自動抽出。未確認
v47011	トラブル・マギア ～訳アリ少女は未来を勝ち取るために異国の魔法学校へ留学します～	@T_Magia_otomate	https://www.otomate.jp/trouble-magia/	2026-09-07	公式サイトからの自動抽出。未確認
v22597	Tlicolity Eyes	@triP_OTOMATE	http://www.otomate.jp/triangle/tlicolity/	2026-09-07	公式サイトからの自動抽出。未確認
v18159	鏡界の白雪	@kk_shirayuki	http://www.otomate.jp/kyoukai/	2026-09-07	公式サイトからの自動抽出。未確認
v16648	Vinculum Hearts ～アイリス魔法学園～	@OPERAHOUSE_info	http://isw-app.operahouse.co.jp/	2026-09-07	公式サイトからの自動抽出。未確認
v11641	はつカレっ☆恋愛デビュー宣言!	@hatsukare_psp	http://www.cs.furyu.jp/hatsukare/	2026-09-07	公式サイトからの自動抽出。未確認
v19851	蝶々事件ラブソディック	@CCJLS_otomate	http://www.otomate.jp/chouchoujiken/	2026-09-07	公式サイトからの自動抽出。未確認
v18164	薔薇に隠されしヴェリテ	@Verite_otomate	http://www.otomate.jp/verite/	2026-09-07	公式サイトからの自動抽出。未確認
v39593	深淵のユカラ	@locagames_en	https://www.loca.games/yukar-from-the-abyss/	2026-09-07	公式サイトからの自動抽出。未確認
v28833	アンジェリーク ルミナライズ	@angelique_kt	https://www.gamecity.ne.jp/anmina/	2026-09-07	公式サイトからの自動抽出。未確認
v22311	神凪ノ杜	@matatabi_soft	http://matatabi.tv/kannagi/	2026-09-07	公式サイトからの自動抽出。未確認
v10475	青春はじめました！	@honeybee_asgard	http://www.honeybee-cd.com/seisyun.html	2026-09-07	公式サイトからの自動抽出。未確認
v19853	真紅の焔 真田忍法帳	@kurenai_otomate	http://www.otomate.jp/kurenai/	2026-09-07	公式サイトからの自動抽出。未確認
v26558	遙かなる時空の中で7	@haruka_series	https://www.gamecity.ne.jp/haruka7/	2026-09-07	公式サイトからの自動抽出。未確認
v49601	冬園サクリフィス	@fuyuzono_otome	https://www.otomate.jp/fuyuzono/	2026-09-07	公式サイトからの自動抽出。未確認
v23025	マスカレード・キス～危険な駆け引き～	@volkoi_official	http://www.voltage.co.jp/2018/05/08/6487/	2026-09-07	公式サイトからの自動抽出。未確認
v22762	魔界王子と魅惑のナイトメア	@makai_nightmare	http://koi-game.voltage.co.jp/title/makai/	2026-09-07	公式サイトからの自動抽出。未確認
v20993	プリンセスクローゼット	@p_closet	http://web.archive.org/web/20150718015241/http://www.moregames.co.jp/p-closet/	2026-09-07	公式サイトからの自動抽出。未確認
v52275	BYAKKO ～四神部隊炎恋記～	@BYAKKO_otomate	https://www.otomate.jp/byakko/	2026-09-07	公式サイトからの自動抽出。未確認
v47740	悪役令嬢は隣国の王太子に溺愛される	@OPERAHOUSE_info	https://akuyaku.operahouse.co.jp/	2026-09-07	公式サイトからの自動抽出。未確認
v20326	空蝉の廻	@matatabi_soft	http://matatabi.tv/utsusemi/	2026-09-07	公式サイトからの自動抽出。未確認
v16652	妖かし恋戯曲	@OPERAHOUSE_info	http://ayakoi.operahouse.co.jp/	2026-09-07	公式サイトからの自動抽出。未確認
v52276	9 R.I.P. sequel	@9RIP_otomate	https://www.otomate.jp/9rips/	2026-09-07	公式サイトからの自動抽出。未確認
v25910	明治活劇 ハイカラ流星組 －成敗しませう、世直し稼業－	@haikara_otomate	http://www.otomate.jp/haikara/	2026-09-07	公式サイトからの自動抽出。未確認
v18833	猛獣たちとお姫様	@moju_hime	http://www.otomate.jp/beast_princess/	2026-09-07	公式サイトからの自動抽出。未確認
v18161	数乱digit	@suran_digit	http://www.otomate.jp/suran/	2026-09-07	公式サイトからの自動抽出。未確認
v19849	KLAP!! ~Kind Love And Punish~ Fun Party	@klap_otomate	http://www.otomate.jp/klap/fun-party/	2026-09-07	公式サイトからの自動抽出。未確認
v28235	アンジェーリーク ルトゥール	@AngeR_official	http://www.gamecity.ne.jp/ange_retour/	2026-09-07	公式サイトからの自動抽出。未確認
v16049	Possession Magenta	@pm_pwp	http://www.comfort-soft.jp/products/pm/	2026-09-07	公式サイトからの自動抽出。未確認
v53877	泡沫のユークロニア -trail-	@uchronia_jp	https://licobits-game.com/uchronia/fd/	2026-09-07	公式サイトからの自動抽出。未確認
v20970	Spiral Memoria～私と出逢う夏～	@OPERAHOUSE_info	http://spmemo.operahouse.co.jp/	2026-09-07	公式サイトからの自動抽出。未確認
v20634	嘘月シャングリラ	@usotsuki_info	http://rejetweb.jp/usotsuki/	2026-09-07	公式サイトからの自動抽出。未確認
v15023	神々の悪戯 InFinite	@kami_aso	http://www.kamiaso.com/game/infinite/	2026-09-07	公式サイトからの自動抽出。未確認
v22122	軍靴をはいた猫	@gunneko_info	http://www.primula.jpn.com/gunneko/index.html	2026-09-07	公式サイトからの自動抽出。未確認
v48830	DistortedCode ―生者の残り香―	@distoco	http://www.takuyo.co.jp/products/distortedcode/	2026-09-07	公式サイトからの自動抽出。未確認
v25916	薄桜鬼 真改 月影ノ抄	@HakuokiShinkai	http://www.otomate.jp/hakuoki/shinkai/tsukikage/	2026-09-07	公式サイトからの自動抽出。未確認
v25915	スペードの国のアリス	@spadealice_info	https://www.otomate.jp/spade_alice/white/	2026-09-07	公式サイトからの自動抽出。未確認
v24312	喧嘩番長 乙女 2nd Rumble!!	@kenkabancho_o	http://www.kenkabancho-otome.com/2/	2026-09-07	公式サイトからの自動抽出。未確認
v12928	月影の鎖 ―狂爛モラトリアム―	@getsuei_kanko	http://www.takuyo.co.jp/products/getsueifd/index.html	2026-09-07	公式サイトからの自動抽出。未確認
v54934	CRAZY CHA!N -エルピスの鎖-	@CC_otomate	https://www.otomate.jp/crazy_chain/	2026-09-07	公式サイトからの自動抽出。未確認
v21788	片恋いコントラスト ―way of parting―	@triP_OTOMATE	http://www.otomate.jp/triangle/contrast/	2026-09-07	公式サイトからの自動抽出。未確認
v19298	ゆのはな SpRING! Cherishing Time	@ys_otomate	http://www.otomate.jp/yunohana_spring/ct/	2026-09-07	公式サイトからの自動抽出。未確認
v15772	I DOLL U	@IDOLLU_official	http://www.otomate.jp/i_doll_u/	2026-09-07	公式サイトからの自動抽出。未確認
v21784	天涯ニ舞ウ、粋ナ花	@tengai_otomate	http://www.otomate.jp/tengai/	2026-09-07	公式サイトからの自動抽出。未確認
v17641	サイキックエモーション ムー	@PE6_otomate	http://www.otomate.jp/psychic-emotion6/	2026-09-07	公式サイトからの自動抽出。未確認
v14345	ときめきレストラン☆☆☆	@KONAMI573ch	http://www.konami.jp/tokires/	2026-09-07	公式サイトからの自動抽出。未確認
v13072	金色のコルダ３ AnotherSky	@corda_official	http://www.gamecity.ne.jp/corda3/anothersky/	2026-09-07	公式サイトからの自動抽出。未確認
v11636	STORM LOVER 2nd	@st_louis_high	http://www.d3p.co.jp/stormlover_2nd/	2026-09-07	公式サイトからの自動抽出。未確認
v15248	絶対迷宮 秘密のおやゆび姫	@karin_ent	https://oyayubi.labyrinth-of.net/	2026-09-07	公式サイトからの自動抽出。未確認
v28405	闇色の魔珠	@d_majyu	http://www.daisy-daisy.in/products/majyu/	2026-09-07	公式サイトからの自動抽出。未確認
v25917	薄桜鬼 真改 銀星ノ抄	@HakuokiShinkai	https://www.otomate.jp/hakuoki/shinkai/ginsei/	2026-09-07	公式サイトからの自動抽出。未確認
v21785	私立ベルばら学園 ～ベルサイユのばらRe*imagination～	@berubaragakuen	http://www.otomate.jp/berubara-gakuen/	2026-09-07	公式サイトからの自動抽出。未確認
v12807	放課後colorful＊step	@colorfulstep_hb	http://www.honeybee-cd.com/colorful_step.html	2026-09-07	公式サイトからの自動抽出。未確認
v52266	勿ノ怪契リ	@mononok_otomate	https://www.otomate.jp/mononoke/	2026-09-07	公式サイトからの自動抽出。未確認
v19288	花朧 ～戦国伝乱奇～	@hana_otomate	http://www.otomate.jp/hanaoboro/	2026-09-07	公式サイトからの自動抽出。未確認
v42595	陰キャラブコメ	@inlove_eigedo	https://inlove-game.com/	2026-09-07	公式サイトからの自動抽出。未確認
v19190	遙かなる時空の中で6 幻燈ロンド	@Haruka6Official	http://www.gamecity.ne.jp/haruka6/gentourondo/	2026-09-07	公式サイトからの自動抽出。未確認
v17286	BELIEVER!	@D3P_otome	http://www.d3p.co.jp/believer/	2026-09-07	公式サイトからの自動抽出。未確認
v16608	RearPheles –Red of Another–	@matatabi_soft	http://matatabi.tv/rearpheles/roa/	2026-09-07	公式サイトからの自動抽出。未確認
v38124	My9Swallows TOPSTARS LEAGUE	@My9_otomate	https://www.otomate.jp/my9swallows/	2026-09-07	公式サイトからの自動抽出。未確認
v16468	Vamwolf Cross†	@D3P_otome	http://www.d3p.co.jp/vamwolf_cross/	2026-09-07	公式サイトからの自動抽出。未確認
v21112	猛獣たちとお姫様 ~in blossom~	@moju_hime	http://www.otomate.jp/beast_princess/fd/	2026-09-07	公式サイトからの自動抽出。未確認
v10045	神さまと恋ゴコロ	@takuyo_gokoro	http://www.takuyo.co.jp/products/kamikoi/	2026-09-07	公式サイトからの自動抽出。未確認
v20249	ハイリゲンシュタットの歌	@eXtend_info	http://joqrextend.co.jp/extend/Heiligenstadt/	2026-09-07	公式サイトからの自動抽出。未確認
v12570	プリPia～プリンスPia♥キャロット～	@pripia_official	https://web.archive.org/web/20150226223102/http://www.cocoever.com/pripia/	2026-09-07	公式サイトからの自動抽出。未確認
v26906	ひめひび Another Princess Days – White or Black –	@takuyo_himeawb	http://www.takuyo.co.jp/products/himehibi_wb/index.html	2026-09-07	公式サイトからの自動抽出。未確認
v19140	逢魔が刻 ~かくりよの縁~	@eXtend_info	https://joqrextend.co.jp/extend/oumagatoki/	2026-09-07	公式サイトからの自動抽出。未確認
v14534	爽海バッカニアーズ!	@p_reve	http://www.fenter.jp/p-reve/buccaneers/	2026-09-07	公式サイトからの自動抽出。未確認
v11985	ビタミンR	@vitamin_d3p	http://www.d3p.co.jp/vitamin_r/	2026-09-07	公式サイトからの自動抽出。未確認
v60966	君に惑い、君に溺れる。	@KK_otomate	https://www.otomate.jp/kiminimadoi/	2026-09-07	公式サイトからの自動抽出。未確認
v31423	少女首領の推理領域 -黄金島の密約-	@orange_GM01	http://orange-app.jp/game/BossGirl/	2026-09-07	公式サイトからの自動抽出。未確認
v18838	マジきゅんっ！ルネッサンス	@magic_kyun	http://www.magic-kyun-game.jp/	2026-09-07	公式サイトからの自動抽出。未確認
v16607	5人の恋プリンス ~ヒミツの契約結婚~	@koipri_v	https://web.archive.org/web/20190823053322/http://www.asgard-japan.com/koipuri/	2026-09-07	公式サイトからの自動抽出。未確認
v15577	ROOT∞REXX	@rootrexx	http://www.otomate.jp/root_rexx/	2026-09-07	公式サイトからの自動抽出。未確認
v15118	Goes!	@p_reve	http://www.fenter.jp/p-reve/goes/	2026-09-07	公式サイトからの自動抽出。未確認
v52279	マツリカの炯-kEi- 天命華燭伝	@Mk_otomate	https://www.otomate.jp/mk/fd/	2026-09-07	公式サイトからの自動抽出。未確認
v17285	帝国海軍恋慕情 ～明治横須賀行進曲～	@D3P_otome	http://www.d3p.co.jp/kaigun/	2026-09-07	公式サイトからの自動抽出。未確認
v21024	ネオ アンジェリーク 天使の涙	@NEOA_otomate	http://www.otomate.jp/neoangelique/	2026-09-07	公式サイトからの自動抽出。未確認
v26704	恋の花咲く百花園	@takuyo_koihana	http://www.takuyo.co.jp/products/koihana/index.html	2026-09-07	公式サイトからの自動抽出。未確認
v17608	LOVE:QUIZ ~恋する乙女のファイナルアンサー~	@lovequiz_v	https://web.archive.org/web/20191030125115/http://www.asgard-japan.com/lovequiz/index.html	2026-09-07	公式サイトからの自動抽出。未確認
v16467	アブナイ恋の捜査室 ~Eternal Happiness~	@KOHEI110ban	https://web.archive.org/web/20181219223837/http://auragame.jp/deka/eh/index.html	2026-09-07	公式サイトからの自動抽出。未確認
v22022	VitaminX Destination	@vitamin_d3p	https://www.d3p.co.jp/vitaminx_d/	2026-09-07	公式サイトからの自動抽出。未確認
v21712	１２歳。～恋するDiary～	@happinet_game	http://age12diary.happinet-games.com/	2026-09-07	公式サイトからの自動抽出。未確認
v37852	モノマギア・カンタービレ	@mono_magia	https://game.mba-international.jp/monomagiacantabile/	2026-09-07	公式サイトからの自動抽出。未確認
v37108	未然探偵 The Protea Cases	@orange_GM01	http://orange-app.jp/game/mizen/	2026-09-07	公式サイトからの自動抽出。未確認
v19141	クランク・イン	@p_reve	http://www.fenter.jp/p-reve/crank-in/	2026-09-07	公式サイトからの自動抽出。未確認
v18082	創作アリスと王子さま!	@happinet_game	http://alice.happinet-games.com/	2026-09-07	公式サイトからの自動抽出。未確認
v12934	VitaminX DetectiveB6	@vitamin_d3p	http://www.d3p.co.jp/vitamin_x_detective_b6/	2026-09-07	公式サイトからの自動抽出。未確認
v40406	ドラッグ王子とマトリ姫	@matori_hime	https://colyinc.com/matori/index.html	2026-09-07	公式サイトからの自動抽出。未確認
v16473	12歳。 ~ほんとのキモチ~	@happinet_game	http://age12.happinet-games.com/index.php	2026-09-07	公式サイトからの自動抽出。未確認
v59313	Sullyland Nursery Rhyme	@SN_otomate	https://www.otomate.jp/sullyland/	2026-09-07	公式サイトからの自動抽出。未確認
v59029	百目ノ花贄	@hyakunie	https://hyakunie.com/	2026-09-07	公式サイトからの自動抽出。未確認
v58562	Le Mirage Mystique	@Le_Mirage_jp	https://licobits-game.com/mirage/	2026-09-07	公式サイトからの自動抽出。未確認
v57444	シノビザムライ	@mizublue_games	https://mizublue.com/shinobi_samurai/	2026-09-07	公式サイトからの自動抽出。未確認
v56913	愛の花だより	@mizublue_games	https://mizublue.com/ainohana/	2026-09-07	公式サイトからの自動抽出。未確認
v56767	薄桜鬼異聞　ベレジンスキーの魔女	@WitchB_otomate	https://www.otomate.jp/witch_bere/	2026-09-07	公式サイトからの自動抽出。未確認
v56686	MIX DUNK -KING OF BASKETBALL-	@MIX_otomate	https://www.otomate.jp/mix_dunk/	2026-09-07	公式サイトからの自動抽出。未確認
