# 探したが紹介ポストが見つからなかった作品／キャラ。hunt がここを飛ばす。
# id には vid でも cid でも書ける。見つかったら行を消せば対象に戻る。
id	checked_at	note
v21024	2026-09-09	雑誌掲載告知しか投稿しておらず、キャラ紹介ポストが無い
v10475	2026-09-09	@honeybee_asgard の検索が0件。アカウントが機能していない可能性
v15248	2026-09-09	@karin_ent は作品名を出す投稿はあるがキャラ紹介は無い（グッズ・イベント告知のみ）
v21922	2026-09-09	グッズ紹介・雑誌告知のみでキャラ紹介が無い
v37852	2026-09-09	2027年1月発売予定の未発売作品。@mono_magia はPVのキャスト一覧のみで、個別のキャラ紹介ポストが存在しない（2026-09時点）
c113188	2026-09-09	GS4のマスコットキャラ。@girlsside573 の #GS男子誕生日 連載は攻略キャラのみで、この子の紹介ポストが無い
c1321	2026-09-09	GS2のマスコットキャラ。@girlsside573 の #GS男子誕生日 連載は攻略キャラのみで、この子の紹介ポストが無い
c39278	2026-09-09	@hw_series は2019年5月〜2020年1月しか稼働しておらず、この期間に誕生日が来なかったため該当ポスト無し。キャラ紹介ポストも無い
c39279	2026-09-09	@hw_series は2019年5月〜2020年1月しか稼働しておらず、この期間に誕生日が来なかったため該当ポスト無し。キャラ紹介ポストも無い
c39283	2026-09-09	@hw_series は2019年5月〜2020年1月しか稼働しておらず、この期間に誕生日が来なかったため該当ポスト無し。キャラ紹介ポストも無い
v7833	2026-09-09	@ponipachet はCD・コミック・グッズ・ラジオ・人気投票の告知のみ。キャラ紹介ポストは存在しない（発売当時2013〜2014年まで遡って確認）
v47771	2026-09-09	@RedBellsLament はドラマCD・グッズ・セールの告知と季節メッセージのみ。キャラ紹介ポストが無い
v22762	2026-09-09	@makai_nightmare はイベント・ガチャ告知のみ。攻略キャラの紹介ポストが無い（アキアの誕生日ポストのみ収集済み）
v25963	2026-09-09	@ayakoi_official はガチャ告知のみ。凪千の誕生日以外にキャラ紹介ポストが無い
v3260	2026-09-10	遙か系の公式アカウント（@HarukaUltimate / @Haruka6Official）はゲーム・グッズ告知のみで、キャラ紹介も誕生日連載も無い
v3261	2026-09-10	遙か系の公式アカウント（@HarukaUltimate / @Haruka6Official）はゲーム・グッズ告知のみで、キャラ紹介も誕生日連載も無い
v19190	2026-09-10	遙か系の公式アカウント（@HarukaUltimate / @Haruka6Official）はゲーム・グッズ告知のみで、キャラ紹介も誕生日連載も無い
v12807	2026-09-10	@colorfulstep_hb は製品情報とグッズ告知のみ。紹介／プロフィール／キャラ名検索いずれもヒットなし
v20277	2026-09-10	@taishoalice は誕生日のセリフ投稿と周年告知のみ。紹介／プロフィール／登場人物／CV いずれもヒットなし
v12928	2026-09-10	@getsuei_kanko はグッズ紹介とキャラのセリフ投稿のみ。紹介／キャラ名検索いずれも紹介ポストなし
v42433	2026-09-10	@RT_x_info はブログ更新・イベント告知が中心。紹介／キャラ名／Character／CV いずれも紹介ポストなし
v30920	2026-09-10	@RT_x_info はブログ更新・イベント告知が中心。紹介／キャラ名／Character／CV いずれも紹介ポストなし
v1794	2026-09-10	遙かシリーズ。@neo_romance はグッズ・イベント告知が中心で、キャラクター紹介ポストは存在しない（キャラクター紹介検索はアンジェリークのイベント設定のみ）
v3259	2026-09-10	遙かシリーズ。@neo_romance はグッズ・イベント告知が中心で、キャラクター紹介ポストは存在しない（キャラクター紹介検索はアンジェリークのイベント設定のみ）
v3263	2026-09-10	遙かシリーズ。@neo_romance はグッズ・イベント告知が中心で、キャラクター紹介ポストは存在しない（キャラクター紹介検索はアンジェリークのイベント設定のみ）
v1795	2026-09-10	遙かシリーズ。@neo_romance はグッズ・イベント告知が中心で、キャラクター紹介ポストは存在しない（キャラクター紹介検索はアンジェリークのイベント設定のみ）
v16060	2026-09-10	遙かシリーズ。@neo_romance はグッズ・イベント告知が中心で、キャラクター紹介ポストは存在しない（キャラクター紹介検索はアンジェリークのイベント設定のみ）
v19190	2026-09-10	遙かシリーズ。@neo_romance はグッズ・イベント告知が中心で、キャラクター紹介ポストは存在しない（キャラクター紹介検索はアンジェリークのイベント設定のみ）
v6403	2026-09-10	遙かシリーズ。@neo_romance はグッズ・イベント告知が中心で、キャラクター紹介ポストは存在しない（キャラクター紹介検索はアンジェリークのイベント設定のみ）
v9901	2026-09-10	遙かシリーズ。@neo_romance はグッズ・イベント告知が中心で、キャラクター紹介ポストは存在しない（キャラクター紹介検索はアンジェリークのイベント設定のみ）
v19288	2026-09-10	@hana_otomate は他タイトルのイベント告知が中心。紹介／CV／キャラクター／プロフィール／登場人物／誕生日いずれもヒットなし
